日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150911","2330","台積電","21131357","51050141409","2430.00","2430.00","2405.00","2410.00","-40.0000","164402"
"1150911","0050","元大台灣50","102009319","10950660941","107.40","108.00","106.90","107.70","-1.4500","199135"
"1150911","00625K","富邦上証+R","10000","85500","8.55","8.55","8.55","8.55","0.0000","1"
"1150911","2317","鴻海","24164352","5997882502","247.50","249.50","247.00","248.00","-3.0000","24204"
"1150911","1101","台泥","14583409","358152550","24.65","24.75","24.50","24.50","-0.3000","4900"
"1150911","00632R","元大台灣50反1","227442284","2257163722","9.91","9.97","9.86","9.91","0.1800","13764"
"1150911","0055","元大MSCI金融","691788","33669039","48.55","49.32","48.10","49.32","0.7100","3083"
"1150911","00400A","主動國泰動能高息","39736424","585390297","14.75","14.82","14.65","14.80","-0.2100","13299"
"1150911","01010T","京城樂富R1","","","","","","","0.0000",""
"1150911","020011","統一微波高息20N","","","","","","","0.0000",""
"1150911","020012","富邦行動通訊N","","","","","","","0.0000",""
"1150911","020020","元大台股領航N","","","","","","","0.0000",""
"1150911","020028","元大特選電動車N","","","","","","","0.0000",""
"1150911","020032","元大綠能N","","","","","","","0.0000",""
"1150911","020036","元大金融配息N","","","","","","","0.0000",""
"1150911","020037","元大金融高股息N","","","","","","","0.0000",""
"1150911","1472","三洋實業","581","48229","","","","","0.0000","7"
"1150911","2024","志聯","47","619","","","","","0.0000","7"
"1150911","2891B","中信金乙特","111","6869","","","","","0.0000","3"
"1150911","9941A","裕融甲特","","","","","","","0.0000",""
